Date,NIFTY_50,NIFTY_FIN_SERVICES,NIFTY_AUTO
2019-01-17,10905.2001953125,11703.5498046875,8878.2001953125
2019-01-18,10906.9501953125,11678.25,8844.7998046875
2019-01-21,10961.849609375,11717.349609375,8746.849609375
2019-01-22,10922.75,11670.099609375,8675.150390625
2019-01-23,10831.5,11556.599609375,8612.25
2019-01-24,10849.7998046875,11545.150390625,8537.25
2019-01-25,10780.5498046875,11483.599609375,8259.7998046875
2019-01-28,10661.5498046875,11266.5,8143.0
2019-01-29,10652.2001953125,11224.7998046875,8120.4501953125
2019-01-30,10651.7998046875,11275.2001953125,8118.39990234375
2019-01-31,10830.9501953125,11456.400390625,8218.400390625
2019-02-01,10893.650390625,11460.900390625,8441.25
2019-02-04,10912.25,11492.650390625,8395.5498046875
2019-02-05,10934.349609375,11519.5498046875,8468.2998046875
2019-02-06,11062.4501953125,11610.150390625,8567.400390625
2019-02-07,11069.400390625,11606.5,8736.7001953125
2019-02-08,10943.599609375,11540.25,8420.349609375
2019-02-11,10888.7998046875,11488.75,8320.2998046875
2019-02-12,10831.400390625,11368.7998046875,8278.099609375
2019-02-14,10746.0498046875,11304.75,8223.349609375
2019-02-15,10724.400390625,11213.900390625,8132.5498046875
2019-02-18,10640.9501953125,11148.25,8067.7001953125
2019-02-19,10604.349609375,11158.099609375,8073.39990234375
2019-02-20,10735.4501953125,11287.7001953125,8121.5
2019-02-21,10789.849609375,11386.7998046875,8156.75
2019-02-22,10791.650390625,11319.75,8278.9501953125
2019-02-25,10880.099609375,11406.7001953125,8371.4501953125
2019-02-26,10835.2998046875,11294.849609375,8399.099609375
2019-02-27,10806.650390625,11234.099609375,8420.0498046875
2019-02-28,10792.5,11227.400390625,8355.150390625
2019-03-01,10863.5,11308.150390625,8413.650390625
2019-03-05,10987.4501953125,11500.5498046875,8676.599609375
2019-03-06,11053.0,11581.2001953125,8651.75
2019-03-07,11058.2001953125,11613.7998046875,8635.7001953125
